details_url,text_url
https://www.govinfo.gov/app/details/CHRG-114shrg23593,https://www.govinfo.gov/app/text/CHRG-114shrg23593
https://www.govinfo.gov/app/details/CHRG-114shrg23592,https://www.govinfo.gov/app/text/CHRG-114shrg23592
https://www.govinfo.gov/app/details/CHRG-114shrg23591,https://www.govinfo.gov/app/text/CHRG-114shrg23591
https://www.govinfo.gov/app/details/CHRG-114shrg23590,https://www.govinfo.gov/app/text/CHRG-114shrg23590
https://www.govinfo.gov/app/details/CHRG-114shrg98997,https://www.govinfo.gov/app/text/CHRG-114shrg98997
https://www.govinfo.gov/app/details/CHRG-114shrg98996,https://www.govinfo.gov/app/text/CHRG-114shrg98996
https://www.govinfo.gov/app/details/CHRG-114shrg98991,https://www.govinfo.gov/app/text/CHRG-114shrg98991
https://www.govinfo.gov/app/details/CHRG-114shrg96182,https://www.govinfo.gov/app/text/CHRG-114shrg96182
https://www.govinfo.gov/app/details/CHRG-114shrg96181,https://www.govinfo.gov/app/text/CHRG-114shrg96181
https://www.govinfo.gov/app/details/CHRG-114shrg96180,https://www.govinfo.gov/app/text/CHRG-114shrg96180
https://www.govinfo.gov/app/details/CHRG-114shrg96179,https://www.govinfo.gov/app/text/CHRG-114shrg96179
https://www.govinfo.gov/app/details/CHRG-114shrg96178,https://www.govinfo.gov/app/text/CHRG-114shrg96178
https://www.govinfo.gov/app/details/CHRG-114shrg96177,https://www.govinfo.gov/app/text/CHRG-114shrg96177
https://www.govinfo.gov/app/details/CHRG-114shrg96176,https://www.govinfo.gov/app/text/CHRG-114shrg96176
https://www.govinfo.gov/app/details/CHRG-114shrg96175,https://www.govinfo.gov/app/text/CHRG-114shrg96175
https://www.govinfo.gov/app/details/CHRG-114shrg96174,https://www.govinfo.gov/app/text/CHRG-114shrg96174
https://www.govinfo.gov/app/details/CHRG-114shrg96173,https://www.govinfo.gov/app/text/CHRG-114shrg96173
https://www.govinfo.gov/app/details/CHRG-113shrg94366,https://www.govinfo.gov/app/text/CHRG-113shrg94366
https://www.govinfo.gov/app/details/CHRG-113shrg94365,https://www.govinfo.gov/app/text/CHRG-113shrg94365
https://www.govinfo.gov/app/details/CHRG-113shrg93033,https://www.govinfo.gov/app/text/CHRG-113shrg93033
https://www.govinfo.gov/app/details/CHRG-113shrg89520,https://www.govinfo.gov/app/text/CHRG-113shrg89520
https://www.govinfo.gov/app/details/CHRG-113shrg93032,https://www.govinfo.gov/app/text/CHRG-113shrg93032
https://www.govinfo.gov/app/details/CHRG-113shrg93031,https://www.govinfo.gov/app/text/CHRG-113shrg93031
https://www.govinfo.gov/app/details/CHRG-113shrg93030,https://www.govinfo.gov/app/text/CHRG-113shrg93030
https://www.govinfo.gov/app/details/CHRG-113shrg93029,https://www.govinfo.gov/app/text/CHRG-113shrg93029
https://www.govinfo.gov/app/details/CHRG-113shrg93028,https://www.govinfo.gov/app/text/CHRG-113shrg93028
https://www.govinfo.gov/app/details/CHRG-113shrg93027,https://www.govinfo.gov/app/text/CHRG-113shrg93027
https://www.govinfo.gov/app/details/CHRG-113shrg93026,https://www.govinfo.gov/app/text/CHRG-113shrg93026
https://www.govinfo.gov/app/details/CHRG-113shrg87568,https://www.govinfo.gov/app/text/CHRG-113shrg87568
https://www.govinfo.gov/app/details/CHRG-113shrg87567,https://www.govinfo.gov/app/text/CHRG-113shrg87567
https://www.govinfo.gov/app/details/CHRG-113shrg87566,https://www.govinfo.gov/app/text/CHRG-113shrg87566
https://www.govinfo.gov/app/details/CHRG-113shrg87565,https://www.govinfo.gov/app/text/CHRG-113shrg87565
https://www.govinfo.gov/app/details/CHRG-113shrg87564,https://www.govinfo.gov/app/text/CHRG-113shrg87564
https://www.govinfo.gov/app/details/CHRG-113shrg87563,https://www.govinfo.gov/app/text/CHRG-113shrg87563
https://www.govinfo.gov/app/details/CHRG-112shrg78277,https://www.govinfo.gov/app/text/CHRG-112shrg78277
https://www.govinfo.gov/app/details/CHRG-112shrg78276,https://www.govinfo.gov/app/text/CHRG-112shrg78276
https://www.govinfo.gov/app/details/CHRG-112shrg78275,https://www.govinfo.gov/app/text/CHRG-112shrg78275
https://www.govinfo.gov/app/details/CHRG-112shrg78274,https://www.govinfo.gov/app/text/CHRG-112shrg78274
https://www.govinfo.gov/app/details/CHRG-112shrg78273,https://www.govinfo.gov/app/text/CHRG-112shrg78273
https://www.govinfo.gov/app/details/CHRG-112shrg78272,https://www.govinfo.gov/app/text/CHRG-112shrg78272
https://www.govinfo.gov/app/details/CHRG-112shrg78271,https://www.govinfo.gov/app/text/CHRG-112shrg78271
https://www.govinfo.gov/app/details/CHRG-112shrg75118,https://www.govinfo.gov/app/text/CHRG-112shrg75118
https://www.govinfo.gov/app/details/CHRG-112shrg75117,https://www.govinfo.gov/app/text/CHRG-112shrg75117
https://www.govinfo.gov/app/details/CHRG-112shrg75116,https://www.govinfo.gov/app/text/CHRG-112shrg75116
https://www.govinfo.gov/app/details/CHRG-112shrg71636,https://www.govinfo.gov/app/text/CHRG-112shrg71636
https://www.govinfo.gov/app/details/CHRG-112shrg71634,https://www.govinfo.gov/app/text/CHRG-112shrg71634
https://www.govinfo.gov/app/details/CHRG-112shrg71635,https://www.govinfo.gov/app/text/CHRG-112shrg71635
https://www.govinfo.gov/app/details/CHRG-112shrg71633,https://www.govinfo.gov/app/text/CHRG-112shrg71633
https://www.govinfo.gov/app/details/CHRG-112shrg71632,https://www.govinfo.gov/app/text/CHRG-112shrg71632
https://www.govinfo.gov/app/details/CHRG-112shrg71631,https://www.govinfo.gov/app/text/CHRG-112shrg71631
https://www.govinfo.gov/app/details/CHRG-112shrg71630,https://www.govinfo.gov/app/text/CHRG-112shrg71630
https://www.govinfo.gov/app/details/CHRG-112shrg71629,https://www.govinfo.gov/app/text/CHRG-112shrg71629
https://www.govinfo.gov/app/details/CHRG-112shrg71628,https://www.govinfo.gov/app/text/CHRG-112shrg71628
https://www.govinfo.gov/app/details/CHRG-112shrg71627,https://www.govinfo.gov/app/text/CHRG-112shrg71627
https://www.govinfo.gov/app/details/CHRG-112shrg71626,https://www.govinfo.gov/app/text/CHRG-112shrg71626
https://www.govinfo.gov/app/details/CHRG-112shrg71625,https://www.govinfo.gov/app/text/CHRG-112shrg71625
https://www.govinfo.gov/app/details/CHRG-112shrg71661,https://www.govinfo.gov/app/text/CHRG-112shrg71661
https://www.govinfo.gov/app/details/CHRG-111shrg66277,https://www.govinfo.gov/app/text/CHRG-111shrg66277
https://www.govinfo.gov/app/details/CHRG-111shrg66276,https://www.govinfo.gov/app/text/CHRG-111shrg66276
https://www.govinfo.gov/app/details/CHRG-111shrg66275,https://www.govinfo.gov/app/text/CHRG-111shrg66275
https://www.govinfo.gov/app/details/CHRG-111shrg66274,https://www.govinfo.gov/app/text/CHRG-111shrg66274
https://www.govinfo.gov/app/details/CHRG-111shrg66273,https://www.govinfo.gov/app/text/CHRG-111shrg66273
https://www.govinfo.gov/app/details/CHRG-111shrg66272,https://www.govinfo.gov/app/text/CHRG-111shrg66272
https://www.govinfo.gov/app/details/CHRG-111shrg66271,https://www.govinfo.gov/app/text/CHRG-111shrg66271
https://www.govinfo.gov/app/details/CHRG-111shrg66270,https://www.govinfo.gov/app/text/CHRG-111shrg66270
https://www.govinfo.gov/app/details/CHRG-111shrg62722,https://www.govinfo.gov/app/text/CHRG-111shrg62722
https://www.govinfo.gov/app/details/CHRG-111shrg62721,https://www.govinfo.gov/app/text/CHRG-111shrg62721
https://www.govinfo.gov/app/details/CHRG-111shrg62720,https://www.govinfo.gov/app/text/CHRG-111shrg62720
https://www.govinfo.gov/app/details/CHRG-111shrg62719,https://www.govinfo.gov/app/text/CHRG-111shrg62719
https://www.govinfo.gov/app/details/CHRG-111shrg62718,https://www.govinfo.gov/app/text/CHRG-111shrg62718
https://www.govinfo.gov/app/details/CHRG-111shrg62717,https://www.govinfo.gov/app/text/CHRG-111shrg62717
https://www.govinfo.gov/app/details/CHRG-111shrg62716,https://www.govinfo.gov/app/text/CHRG-111shrg62716
https://www.govinfo.gov/app/details/CHRG-111shrg62715,https://www.govinfo.gov/app/text/CHRG-111shrg62715
https://www.govinfo.gov/app/details/CHRG-111shrg62714,https://www.govinfo.gov/app/text/CHRG-111shrg62714
https://www.govinfo.gov/app/details/CHRG-111shrg56564,https://www.govinfo.gov/app/text/CHRG-111shrg56564
https://www.govinfo.gov/app/details/CHRG-111shrg56563,https://www.govinfo.gov/app/text/CHRG-111shrg56563
https://www.govinfo.gov/app/details/CHRG-111shrg54571,https://www.govinfo.gov/app/text/CHRG-111shrg54571
https://www.govinfo.gov/app/details/CHRG-111shrg54570,https://www.govinfo.gov/app/text/CHRG-111shrg54570
https://www.govinfo.gov/app/details/CHRG-111shrg54569,https://www.govinfo.gov/app/text/CHRG-111shrg54569
https://www.govinfo.gov/app/details/CHRG-111shrg54568,https://www.govinfo.gov/app/text/CHRG-111shrg54568
https://www.govinfo.gov/app/details/CHRG-111shrg54567,https://www.govinfo.gov/app/text/CHRG-111shrg54567
https://www.govinfo.gov/app/details/CHRG-111shrg54566,https://www.govinfo.gov/app/text/CHRG-111shrg54566
https://www.govinfo.gov/app/details/CHRG-111shrg54565,https://www.govinfo.gov/app/text/CHRG-111shrg54565
https://www.govinfo.gov/app/details/CHRG-111shrg54564,https://www.govinfo.gov/app/text/CHRG-111shrg54564
https://www.govinfo.gov/app/details/CHRG-111shrg49576,https://www.govinfo.gov/app/text/CHRG-111shrg49576
https://www.govinfo.gov/app/details/CHRG-111shrg49575,https://www.govinfo.gov/app/text/CHRG-111shrg49575
https://www.govinfo.gov/app/details/CHRG-110shrg51273,https://www.govinfo.gov/app/text/CHRG-110shrg51273
https://www.govinfo.gov/app/details/CHRG-110shrg48539,https://www.govinfo.gov/app/text/CHRG-110shrg48539
https://www.govinfo.gov/app/details/CHRG-110shrg48538,https://www.govinfo.gov/app/text/CHRG-110shrg48538
https://www.govinfo.gov/app/details/CHRG-110shrg49574,https://www.govinfo.gov/app/text/CHRG-110shrg49574
https://www.govinfo.gov/app/details/CHRG-110shrg46170,https://www.govinfo.gov/app/text/CHRG-110shrg46170
https://www.govinfo.gov/app/details/CHRG-110shrg46169,https://www.govinfo.gov/app/text/CHRG-110shrg46169
https://www.govinfo.gov/app/details/CHRG-110shrg45328,https://www.govinfo.gov/app/text/CHRG-110shrg45328
https://www.govinfo.gov/app/details/CHRG-110shrg45835,https://www.govinfo.gov/app/text/CHRG-110shrg45835
https://www.govinfo.gov/app/details/CHRG-110shrg44289,https://www.govinfo.gov/app/text/CHRG-110shrg44289
https://www.govinfo.gov/app/details/CHRG-110shrg44765,https://www.govinfo.gov/app/text/CHRG-110shrg44765
https://www.govinfo.gov/app/details/CHRG-110shrg44764,https://www.govinfo.gov/app/text/CHRG-110shrg44764
https://www.govinfo.gov/app/details/CHRG-110shrg41429,https://www.govinfo.gov/app/text/CHRG-110shrg41429
https://www.govinfo.gov/app/details/CHRG-110shrg38704,https://www.govinfo.gov/app/text/CHRG-110shrg38704
https://www.govinfo.gov/app/details/CHRG-110shrg38703,https://www.govinfo.gov/app/text/CHRG-110shrg38703
https://www.govinfo.gov/app/details/CHRG-110shrg35054,https://www.govinfo.gov/app/text/CHRG-110shrg35054
https://www.govinfo.gov/app/details/CHRG-110shrg35053,https://www.govinfo.gov/app/text/CHRG-110shrg35053
https://www.govinfo.gov/app/details/CHRG-110shrg35052,https://www.govinfo.gov/app/text/CHRG-110shrg35052
https://www.govinfo.gov/app/details/CHRG-110shrg35051,https://www.govinfo.gov/app/text/CHRG-110shrg35051
https://www.govinfo.gov/app/details/CHRG-110shrg35050,https://www.govinfo.gov/app/text/CHRG-110shrg35050
https://www.govinfo.gov/app/details/CHRG-110shrg35049,https://www.govinfo.gov/app/text/CHRG-110shrg35049
https://www.govinfo.gov/app/details/CHRG-110shrg35048,https://www.govinfo.gov/app/text/CHRG-110shrg35048
https://www.govinfo.gov/app/details/CHRG-110shrg37885,https://www.govinfo.gov/app/text/CHRG-110shrg37885
